Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Trial Running 06-07-2022,Chrome 103.0.5060.114,,,2022-07-06 21:43:53,2022-07-06 21:50:00,6m - 7.113s,FAILED
,,,,,,,
Test Cases/Success/DM4 - Sukses checkout dengan Promo installment,Chrome 103.0.5060.114,,,2022-07-06 21:44:28,2022-07-06 21:44:50,22.122s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-06 21:44:28,2022-07-06 21:44:30,2.531s,PASSED
navigateToUrl(base_url),Chrome 103.0.5060.114,,,2022-07-06 21:44:30,2022-07-06 21:44:32,1.397s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-06 21:44:32,2022-07-06 21:44:32,0.554s,PASSED
"priceTag = "", """").replace("","", """")",Chrome 103.0.5060.114,,,2022-07-06 21:44:32,2022-07-06 21:44:33,0.602s,PASSED
"verifyMatch(priceTag, findTestData(""checkout_data"").getValue(3, 1), false)",Chrome 103.0.5060.114,,,2022-07-06 21:44:33,2022-07-06 21:44:33,0.036s,PASSED
"click(findTestObject(""Landing Page/buyNowBtn""))",Chrome 103.0.5060.114,,,2022-07-06 21:44:33,2022-07-06 21:44:33,0.437s,PASSED
"qtyField = replace(""×"", """").replace("" "", """")",Chrome 103.0.5060.114,,,2022-07-06 21:44:33,2022-07-06 21:44:34,0.490s,PASSED
"verifyMatch(qtyField, findTestData(""checkout_data"").getValue(2, 1), false)",Chrome 103.0.5060.114,,,2022-07-06 21:44:34,2022-07-06 21:44:34,0.090s,PASSED
"verifyElementAttributeValue(findTestObject(""Checkout Page/amountField""), ""value"", findTestData(""checkout_data"").getValue(3, 1), 0)",Chrome 103.0.5060.114,,,2022-07-06 21:44:34,2022-07-06 21:44:34,0.447s,PASSED
"totalAmountField = getText(findTestObject(""Checkout Page/totalAmountField"")).replace("","", """")",Chrome 103.0.5060.114,,,2022-07-06 21:44:34,2022-07-06 21:44:35,0.358s,PASSED
"verifyMatch(totalAmountField, findTestData(""checkout_data"").getValue(4, 1), false)",Chrome 103.0.5060.114,,,2022-07-06 21:44:35,2022-07-06 21:44:35,0.049s,PASSED
"setText(findTestObject(""Checkout Page/nameField""), findTestData(""checkout_data"").getValue(5, 1))",Chrome 103.0.5060.114,,,2022-07-06 21:44:35,2022-07-06 21:44:36,0.827s,PASSED
"setText(findTestObject(""Checkout Page/emailField""), findTestData(""checkout_data"").getValue(6, 1))",Chrome 103.0.5060.114,,,2022-07-06 21:44:36,2022-07-06 21:44:37,0.872s,PASSED
"setText(findTestObject(""Checkout Page/phoneField""), findTestData(""checkout_data"").getValue(7, 1))",Chrome 103.0.5060.114,,,2022-07-06 21:44:37,2022-07-06 21:44:37,0.824s,PASSED
"setText(findTestObject(""Checkout Page/cityField""), findTestData(""checkout_data"").getValue(8, 1))",Chrome 103.0.5060.114,,,2022-07-06 21:44:37,2022-07-06 21:44:38,0.813s,PASSED
"setText(findTestObject(""Checkout Page/addressField""), findTestData(""checkout_data"").getValue(9, 1))",Chrome 103.0.5060.114,,,2022-07-06 21:44:38,2022-07-06 21:44:39,0.836s,PASSED
"setText(findTestObject(""Checkout Page/postalCodeField""), findTestData(""checkout_data"").getValue(10, 1))",Chrome 103.0.5060.114,,,2022-07-06 21:44:39,2022-07-06 21:44:40,0.800s,PASSED
"click(findTestObject(""Checkout Page/checkoutBtn""))",Chrome 103.0.5060.114,,,2022-07-06 21:44:40,2022-07-06 21:44:40,0.405s,PASSED
"switchToFrame(findTestObject(""Summary Order/iFrameSummaryOrder""), 30)",Chrome 103.0.5060.114,,,2022-07-06 21:44:40,2022-07-06 21:44:41,0.897s,PASSED
"totalAmountAtas = replace(""Rp"", """").replace(""."", """")",Chrome 103.0.5060.114,,,2022-07-06 21:44:41,2022-07-06 21:44:42,0.731s,PASSED
"verifyMatch(totalAmountAtas, totalAmountField, false)",Chrome 103.0.5060.114,,,2022-07-06 21:44:42,2022-07-06 21:44:42,0.004s,PASSED
"orderIdText = getText(findTestObject(""Summary Order/orderData/orderID""))",Chrome 103.0.5060.114,,,2022-07-06 21:44:42,2022-07-06 21:44:42,0.161s,PASSED
"click(findTestObject(""Summary Order/expandSummaryOrder""))",Chrome 103.0.5060.114,,,2022-07-06 21:44:42,2022-07-06 21:44:42,0.227s,PASSED
"totalAmountBawah = replace(""Rp"", """").replace(""."", """")",Chrome 103.0.5060.114,,,2022-07-06 21:44:42,2022-07-06 21:44:42,0.164s,PASSED
"verifyMatch(totalAmountBawah, totalAmountAtas, false)",Chrome 103.0.5060.114,,,2022-07-06 21:44:42,2022-07-06 21:44:42,0.004s,PASSED
"verifyElementText(findTestObject(""Summary Order/orderData/name""), findTestData(""checkout_data"").getValue(5, 1))",Chrome 103.0.5060.114,,,2022-07-06 21:44:42,2022-07-06 21:44:43,0.307s,PASSED
"verifyElementText(findTestObject(""Summary Order/orderData/phone""), findTestData(""checkout_data"").getValue(7, 1))",Chrome 103.0.5060.114,,,2022-07-06 21:44:43,2022-07-06 21:44:43,0.278s,PASSED
"click(findTestObject(""Summary Order/expandSummaryOrder""))",Chrome 103.0.5060.114,,,2022-07-06 21:44:43,2022-07-06 21:44:43,0.183s,PASSED
"click(findTestObject(""paymentMethod/creditCard""))",Chrome 103.0.5060.114,,,2022-07-06 21:44:43,2022-07-06 21:44:43,0.260s,PASSED
"setText(findTestObject(""fieldCreditCard/cardNumberField""), findTestData(""credit_card"").getValue(1, 4))",Chrome 103.0.5060.114,,,2022-07-06 21:44:43,2022-07-06 21:44:44,0.485s,PASSED
"setText(findTestObject(""fieldCreditCard/expirationDateField""), findTestData(""credit_card"").getValue(2, 4))",Chrome 103.0.5060.114,,,2022-07-06 21:44:44,2022-07-06 21:44:44,0.276s,PASSED
"setText(findTestObject(""fieldCreditCard/cvvField""), findTestData(""credit_card"").getValue(3, 4))",Chrome 103.0.5060.114,,,2022-07-06 21:44:44,2022-07-06 21:44:45,0.275s,PASSED
"check(findTestObject(""promo/promoInstallment""))",Chrome 103.0.5060.114,,,2022-07-06 21:44:45,2022-07-06 21:44:45,0.226s,PASSED
"valueInstallment = replace(""-Rp"", """").replace(""."", """")",Chrome 103.0.5060.114,,,2022-07-06 21:44:45,2022-07-06 21:44:45,0.118s,PASSED
"verifyMatch(valueInstallment, findTestData(""promo"").getValue(2, 1), false)",Chrome 103.0.5060.114,,,2022-07-06 21:44:45,2022-07-06 21:44:45,0.034s,PASSED
"amountAfterPromo = replace(""Rp"", """").replace(""."", """")",Chrome 103.0.5060.114,,,2022-07-06 21:44:45,2022-07-06 21:44:45,0.081s,PASSED
"verifyMatch(amountAfterPromo, findTestData(""promo"").getValue(4, 1), false)",Chrome 103.0.5060.114,,,2022-07-06 21:44:45,2022-07-06 21:44:45,0.037s,PASSED
"click(findTestObject(""paymentMethod/paynowBtn""))",Chrome 103.0.5060.114,,,2022-07-06 21:44:45,2022-07-06 21:44:45,0.192s,PASSED
"switchToFrame(findTestObject(""Confirm OTP credit Card/iframeConfirmOTP""), 30)",Chrome 103.0.5060.114,,,2022-07-06 21:44:45,2022-07-06 21:44:45,0.138s,PASSED
"setText(findTestObject(""Confirm OTP credit Card/otpField""), findTestData(""credit_card"").getValue(4, 4))",Chrome 103.0.5060.114,,,2022-07-06 21:44:45,2022-07-06 21:44:48,2.405s,PASSED
"click(findTestObject(""Confirm OTP credit Card/submitOTP""))",Chrome 103.0.5060.114,,,2022-07-06 21:44:48,2022-07-06 21:44:49,0.958s,PASSED
switchToDefaultContent(),Chrome 103.0.5060.114,,,2022-07-06 21:44:49,2022-07-06 21:44:49,0.044s,PASSED
"switchToFrame(findTestObject(""Summary Order/iFrameSummaryOrder""), 30)",Chrome 103.0.5060.114,,,2022-07-06 21:44:49,2022-07-06 21:44:49,0.362s,PASSED
"verifyElementText(findTestObject(""Status Payment/statusPayment""), findTestData(""credit_card"").getValue(5, 4))",Chrome 103.0.5060.114,,,2022-07-06 21:44:49,2022-07-06 21:44:49,0.147s,PASSED
"totalAmountFinal = replace(""Rp"", """").replace(""."", """")",Chrome 103.0.5060.114,,,2022-07-06 21:44:49,2022-07-06 21:44:49,0.124s,PASSED
"verifyMatch(totalAmountFinal, amountAfterPromo, false)",Chrome 103.0.5060.114,,,2022-07-06 21:44:49,2022-07-06 21:44:49,0.004s,PASSED
"infoOrderID = getText(findTestObject(""Status Payment/infoOrderID""))",Chrome 103.0.5060.114,,,2022-07-06 21:44:49,2022-07-06 21:44:50,0.176s,PASSED
"verifyMatch(infoOrderID, orderIdText, false)",Chrome 103.0.5060.114,,,2022-07-06 21:44:50,2022-07-06 21:44:50,0.003s,PASSED
takeScreenshot(),Chrome 103.0.5060.114,,,2022-07-06 21:44:50,2022-07-06 21:44:50,0.411s,PASSED
,,,,,,,
Test Cases/Success/DM5 - Sukses checkout dengan Promo potongan 10,Chrome 103.0.5060.114,,,2022-07-06 21:44:50,2022-07-06 21:45:13,22.735s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-06 21:44:50,2022-07-06 21:44:53,2.648s,PASSED
navigateToUrl(base_url),Chrome 103.0.5060.114,,,2022-07-06 21:44:53,2022-07-06 21:44:54,0.908s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-06 21:44:54,2022-07-06 21:44:54,0.193s,PASSED
"priceTag = "", """").replace("","", """")",Chrome 103.0.5060.114,,,2022-07-06 21:44:54,2022-07-06 21:44:55,0.413s,PASSED
