Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyMatch(valueInstallment, findTestData(""promo"").getValue(2, 1), false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:15,2022-07-06 00:13:15,0.131s,PASSED
"amountAfterPromo = replace(""Rp"", """").replace(""."", """")",Chrome 103.0.5060.53,,,2022-07-06 00:13:15,2022-07-06 00:13:15,0.160s,PASSED
"verifyMatch(amountAfterPromo, findTestData(""promo"").getValue(4, 1), false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:15,2022-07-06 00:13:15,0.062s,PASSED
"click(findTestObject(""paymentMethod/paynowBtn""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:15,2022-07-06 00:13:15,0.324s,PASSED
"switchToFrame(findTestObject(""Confirm OTP credit Card/iframeConfirmOTP""), 30)",Chrome 103.0.5060.53,,,2022-07-06 00:13:15,2022-07-06 00:13:15,0.172s,PASSED
"setText(findTestObject(""Confirm OTP credit Card/otpField""), findTestData(""credit_card"").getValue(4, 4))",Chrome 103.0.5060.53,,,2022-07-06 00:13:15,2022-07-06 00:13:23,7.745s,PASSED
"click(findTestObject(""Confirm OTP credit Card/submitOTP""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:23,2022-07-06 00:13:26,2.904s,PASSED
switchToDefaultContent(),Chrome 103.0.5060.53,,,2022-07-06 00:13:26,2022-07-06 00:13:26,0.107s,PASSED
"switchToFrame(findTestObject(""Summary Order/iFrameSummaryOrder""), 30)",Chrome 103.0.5060.53,,,2022-07-06 00:13:26,2022-07-06 00:13:27,0.506s,PASSED
"verifyElementText(findTestObject(""Status Payment/statusPayment""), findTestData(""credit_card"").getValue(5, 4))",Chrome 103.0.5060.53,,,2022-07-06 00:13:27,2022-07-06 00:13:27,0.191s,PASSED
"totalAmountFinal = replace(""Rp"", """").replace(""."", """")",Chrome 103.0.5060.53,,,2022-07-06 00:13:27,2022-07-06 00:13:27,0.167s,PASSED
"verifyMatch(totalAmountFinal, amountAfterPromo, false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:27,2022-07-06 00:13:27,0.004s,PASSED
"infoOrderID = getText(findTestObject(""Status Payment/infoOrderID""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:27,2022-07-06 00:13:27,0.199s,PASSED
"verifyMatch(infoOrderID, orderIdText, false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:27,2022-07-06 00:13:27,0.004s,PASSED
takeScreenshot(),Chrome 103.0.5060.53,,,2022-07-06 00:13:27,2022-07-06 00:13:28,0.627s,PASSED
,,,,,,,
Test Cases/Success/DM8 - Sukses checkout dengan Promo Proceed without promo,Chrome 103.0.5060.53,,,2022-07-06 00:13:28,2022-07-06 00:13:47,19.500s,PASSED
"openBrowser("""")",Chrome 103.0.5060.53,,,2022-07-06 00:13:29,2022-07-06 00:13:31,2.393s,PASSED
navigateToUrl(base_url),Chrome 103.0.5060.53,,,2022-07-06 00:13:31,2022-07-06 00:13:32,1.237s,PASSED
maximizeWindow(),Chrome 103.0.5060.53,,,2022-07-06 00:13:32,2022-07-06 00:13:33,0.215s,PASSED
"priceTag = "", """").replace("","", """")",Chrome 103.0.5060.53,,,2022-07-06 00:13:33,2022-07-06 00:13:33,0.625s,PASSED
"verifyMatch(priceTag, findTestData(""checkout_data"").getValue(3, 1), false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:33,2022-07-06 00:13:33,0.053s,PASSED
"click(findTestObject(""Landing Page/buyNowBtn""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:33,2022-07-06 00:13:34,0.422s,PASSED
"qtyField = replace(""×"", """").replace("" "", """")",Chrome 103.0.5060.53,,,2022-07-06 00:13:34,2022-07-06 00:13:34,0.505s,PASSED
"verifyMatch(qtyField, findTestData(""checkout_data"").getValue(2, 1), false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:34,2022-07-06 00:13:34,0.108s,PASSED
"verifyElementAttributeValue(findTestObject(""Checkout Page/amountField""), ""value"", findTestData(""checkout_data"").getValue(3, 1), 0)",Chrome 103.0.5060.53,,,2022-07-06 00:13:34,2022-07-06 00:13:35,0.533s,PASSED
"totalAmountField = getText(findTestObject(""Checkout Page/totalAmountField"")).replace("","", """")",Chrome 103.0.5060.53,,,2022-07-06 00:13:35,2022-07-06 00:13:35,0.296s,PASSED
"verifyMatch(totalAmountField, findTestData(""checkout_data"").getValue(4, 1), false)",Chrome 103.0.5060.53,,,2022-07-06 00:13:35,2022-07-06 00:13:35,0.052s,PASSED
"setText(findTestObject(""Checkout Page/nameField""), findTestData(""checkout_data"").getValue(5, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:13:35,2022-07-06 00:13:36,0.786s,PASSED
"setText(findTestObject(""Checkout Page/emailField""), findTestData(""checkout_data"").getValue(6, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:13:36,2022-07-06 00:13:37,0.734s,PASSED
"setText(findTestObject(""Checkout Page/phoneField""), findTestData(""checkout_data"").getValue(7, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:13:37,2022-07-06 00:13:37,0.687s,PASSED
"setText(findTestObject(""Checkout Page/cityField""), findTestData(""checkout_data"").getValue(8, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:13:37,2022-07-06 00:13:38,0.665s,PASSED
"setText(findTestObject(""Checkout Page/addressField""), findTestData(""checkout_data"").getValue(9, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:13:38,2022-07-06 00:13:39,0.747s,PASSED
"setText(findTestObject(""Checkout Page/postalCodeField""), findTestData(""checkout_data"").getValue(10, 1))",Chrome 103.0.5060.53,,,2022-07-06 00:13:39,2022-07-06 00:13:39,0.687s,PASSED
"click(findTestObject(""Checkout Page/checkoutBtn""))",Chrome 103.0.5060.53,,,2022-07-06 00:13:39,2022-07-06 00:13:40,0.350s,PASSED
"switchToFrame(findTestObject(""Summary Order/iFrameSummaryOrder""), 30)",Chrome 103.0.5060.53,,,2022-07-06 00:13:40,2022-07-06 00:13:41,0.764s,PASSED
