Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Trial Running 06-07-2022,Chrome 103.0.5060.114,,,2022-07-06 21:37:19,2022-07-06 21:38:53,1m - 33.610s,PASSED
,,,,,,,
Test Cases/Success/DM4 - Sukses checkout dengan Promo installment,Chrome 103.0.5060.114,,,2022-07-06 21:37:51,2022-07-06 21:38:14,22.325s,PASSED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-06 21:37:51,2022-07-06 21:37:54,2.670s,PASSED
navigateToUrl(base_url),Chrome 103.0.5060.114,,,2022-07-06 21:37:54,2022-07-06 21:37:55,1.315s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-06 21:37:55,2022-07-06 21:37:56,0.279s,PASSED
"priceTag = "", """").replace("","", """")",Chrome 103.0.5060.114,,,2022-07-06 21:37:56,2022-07-06 21:37:56,0.588s,PASSED
"verifyMatch(priceTag, findTestData(""checkout_data"").getValue(3, 1), false)",Chrome 103.0.5060.114,,,2022-07-06 21:37:56,2022-07-06 21:37:56,0.046s,PASSED
"click(findTestObject(""Landing Page/buyNowBtn""))",Chrome 103.0.5060.114,,,2022-07-06 21:37:56,2022-07-06 21:37:57,0.453s,PASSED
"qtyField = replace(""×"", """").replace("" "", """")",Chrome 103.0.5060.114,,,2022-07-06 21:37:57,2022-07-06 21:37:57,0.563s,PASSED
"verifyMatch(qtyField, findTestData(""checkout_data"").getValue(2, 1), false)",Chrome 103.0.5060.114,,,2022-07-06 21:37:57,2022-07-06 21:37:58,0.174s,PASSED
"verifyElementAttributeValue(findTestObject(""Checkout Page/amountField""), ""value"", findTestData(""checkout_data"").getValue(3, 1), 0)",Chrome 103.0.5060.114,,,2022-07-06 21:37:58,2022-07-06 21:37:58,0.828s,PASSED
"totalAmountField = getText(findTestObject(""Checkout Page/totalAmountField"")).replace("","", """")",Chrome 103.0.5060.114,,,2022-07-06 21:37:58,2022-07-06 21:37:59,0.364s,PASSED
"verifyMatch(totalAmountField, findTestData(""checkout_data"").getValue(4, 1), false)",Chrome 103.0.5060.114,,,2022-07-06 21:37:59,2022-07-06 21:37:59,0.105s,PASSED
"setText(findTestObject(""Checkout Page/nameField""), findTestData(""checkout_data"").getValue(5, 1))",Chrome 103.0.5060.114,,,2022-07-06 21:37:59,2022-07-06 21:38:00,1.022s,PASSED
"setText(findTestObject(""Checkout Page/emailField""), findTestData(""checkout_data"").getValue(6, 1))",Chrome 103.0.5060.114,,,2022-07-06 21:38:00,2022-07-06 21:38:01,0.847s,PASSED
"setText(findTestObject(""Checkout Page/phoneField""), findTestData(""checkout_data"").getValue(7, 1))",Chrome 103.0.5060.114,,,2022-07-06 21:38:01,2022-07-06 21:38:02,0.801s,PASSED
"setText(findTestObject(""Checkout Page/cityField""), findTestData(""checkout_data"").getValue(8, 1))",Chrome 103.0.5060.114,,,2022-07-06 21:38:02,2022-07-06 21:38:02,0.765s,PASSED
"setText(findTestObject(""Checkout Page/addressField""), findTestData(""checkout_data"").getValue(9, 1))",Chrome 103.0.5060.114,,,2022-07-06 21:38:02,2022-07-06 21:38:03,0.843s,PASSED
"setText(findTestObject(""Checkout Page/postalCodeField""), findTestData(""checkout_data"").getValue(10, 1))",Chrome 103.0.5060.114,,,2022-07-06 21:38:03,2022-07-06 21:38:04,1.012s,PASSED
"click(findTestObject(""Checkout Page/checkoutBtn""))",Chrome 103.0.5060.114,,,2022-07-06 21:38:04,2022-07-06 21:38:05,0.460s,PASSED
"switchToFrame(findTestObject(""Summary Order/iFrameSummaryOrder""), 30)",Chrome 103.0.5060.114,,,2022-07-06 21:38:05,2022-07-06 21:38:06,1.089s,PASSED
"totalAmountAtas = replace(""Rp"", """").replace(""."", """")",Chrome 103.0.5060.114,,,2022-07-06 21:38:06,2022-07-06 21:38:06,0.153s,PASSED
"verifyMatch(totalAmountAtas, totalAmountField, false)",Chrome 103.0.5060.114,,,2022-07-06 21:38:06,2022-07-06 21:38:06,0.003s,PASSED
"orderIdText = getText(findTestObject(""Summary Order/orderData/orderID""))",Chrome 103.0.5060.114,,,2022-07-06 21:38:06,2022-07-06 21:38:06,0.165s,PASSED
"click(findTestObject(""Summary Order/expandSummaryOrder""))",Chrome 103.0.5060.114,,,2022-07-06 21:38:06,2022-07-06 21:38:06,0.222s,PASSED
"totalAmountBawah = replace(""Rp"", """").replace(""."", """")",Chrome 103.0.5060.114,,,2022-07-06 21:38:06,2022-07-06 21:38:06,0.103s,PASSED
